Study_ID,First Author,Year,Country,CountryFlag,Outcome Domain,Classification,Total Tests,Statistically Significant Tests,Effect Size
1,Al-Jbouri,2023,Canada,https://upload.wikimedia.org/wikipedia/commons/archive/d/d9/20210109031434%21Flag_of_Canada_%28Pantone%29.svg,Social emotional skills,Low,2,2,"Beta range = [0.01, 0.03]"
6,Faria,2012,USA,https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_the_United_States.png,Social emotional skills,Low,1,1,"Beta = 0.24, SE = 0.09"
19,Lynch,2018,England,https://upload.wikimedia.org/wikipedia/commons/e/ef/England_flag.png,Social emotional skills,Low,2,0,
21,Mokrue,2005,USA,https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_the_United_States.png,Social emotional skills,Low,4,4,"Cohen's d range = [0.26, 0.37]***"
26,Shum,2019,Hong Kong,https://cdn.britannica.com/43/82343-004-93844DE8/Flag-Hong-Kong-province-China.jpg,Social emotional skills,Low,1,0,
27,Swift,2017,USA,https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_the_United_States.png,Social emotional skills,Low,1,1,Beta = 0.3
31,Low,2015,USA,https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_the_United_States.png,Social emotional skills,Low,6,5,"Beta range = [0.05, 0.06]"
12,Humphrey,2018,England,https://upload.wikimedia.org/wikipedia/commons/e/ef/England_flag.png,Social emotional skills,Medium,4,2,"Beta range = [*-0.28, -0.25]"
23,Reyes,2012,USA,https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_the_United_States.png,Social emotional skills,Medium,3,0,
29,Humphrey,2018,England,https://upload.wikimedia.org/wikipedia/commons/e/ef/England_flag.png,Social emotional skills,Medium,4,1,Beta = 0.17
22,Panayiotou,2020,England,https://upload.wikimedia.org/wikipedia/commons/e/ef/England_flag.png,Social emotional skills,High,2,2,Glass delta = 0.63
1,Al-Jbouri,2023,Canada,https://upload.wikimedia.org/wikipedia/commons/archive/d/d9/20210109031434%21Flag_of_Canada_%28Pantone%29.svg,Attitudes towards the self,Low,1,1,Beta = 0.01
19,Lynch,2018,England,https://upload.wikimedia.org/wikipedia/commons/e/ef/England_flag.png,Attitudes towards the self,Low,1,0,
21,Mokrue,2005,USA,https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_the_United_States.png,Attitudes towards the self,Low,1,0,
26,Shum,2019,Hong Kong,https://cdn.britannica.com/43/82343-004-93844DE8/Flag-Hong-Kong-province-China.jpg,Attitudes towards the self,Low,1,0,
19,Lynch,2018,England,https://upload.wikimedia.org/wikipedia/commons/e/ef/England_flag.png,Attitudes towards others,Low,1,0,
26,Shum,2019,Hong Kong,https://cdn.britannica.com/43/82343-004-93844DE8/Flag-Hong-Kong-province-China.jpg,Attitudes towards others,Low,1,1,Beta = 0.51
27,Swift,2017,USA,https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_the_United_States.png,Attitudes towards others,Low,1,1,Beta = 0.37
4,CPPRG,1999,USA,https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_the_United_States.png,Attitudes towards others,Medium,1,0,
1,Al-Jbouri,2023,Canada,https://upload.wikimedia.org/wikipedia/commons/archive/d/d9/20210109031434%21Flag_of_Canada_%28Pantone%29.svg,Attitudes towards school,Medium,3,1,Beta = 0.03
22,Panayiotou,2020,England,https://upload.wikimedia.org/wikipedia/commons/e/ef/England_flag.png,Attitudes towards school,High,2,2,"Glass delta range = [0.79, 0.80]"
27,Swift,2017,USA,https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_the_United_States.png,Prosocial behaviour,Low,4,3,"Beta range = [-0.36, 0.31]"
31,Low,2015,USA,https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_the_United_States.png,Prosocial behaviour,Low,1,1,Beta = 0.06
12,Humphrey,2018,England,https://upload.wikimedia.org/wikipedia/commons/e/ef/England_flag.png,Prosocial behaviour,Medium,2,1,Beta = -0.52 *
28,Wu,2023,Sierra Leone,https://cdn.britannica.com/72/5072-050-823E3632/Flag-Sierra-Leone.jpg,Prosocial behaviour,Medium,1,0,
29,Humphrey,2018,England,https://upload.wikimedia.org/wikipedia/commons/e/ef/England_flag.png,Prosocial behaviour,Medium,2,0,
26,Shum,2019,Hong Kong,https://cdn.britannica.com/43/82343-004-93844DE8/Flag-Hong-Kong-province-China.jpg,Emotional distress,Low,3,1,Beta = 3.32
27,Swift,2017,USA,https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_the_United_States.png,Emotional distress,Low,7,6,"Beta range = [-0.43, -0.33]"
31,Low,2015,USA,https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_the_United_States.png,Emotional distress,Low,1,0,
12,Humphrey,2018,England,https://upload.wikimedia.org/wikipedia/commons/e/ef/England_flag.png,Emotional distress,Medium,2,0,
